Repository,Commit Hash,Characters Added,Characters Removed,Lines Added,Lines Removed,Characters Changed,Lines Changed
atom,090bbf9e77fb1e75858aea0312a8b166cafcfab2,6,35,1,2,41,3
atom,1fc23c3a4fab2c30bbce0105826841bac1332edd,3,20,1,1,23,2
atom,27e9ab8d32b4e3a9a54cb0711f184e7973c83ec1,70,87,1,3,157,4
atom,2a5f7e20c358c6534f4a383feabcc1068cb8c44b,0,22,2,2,22,4
atom,2fa2feacafa95a82e363e8b036f2ad95f08d5227,68,14,1,1,82,2
atom,4f9bd50aced23e48c709b99c7dd51b01ff8a50bf,164,0,4,0,164,4
atom,5325490a35b461a7c5ff805de21ba9558def24cf,6,0,1,1,6,2
atom,9648d8b82fdb06cfaf3f8dcc14e910d06c742eb1,17,21,2,2,38,4
atom,9cbc801eeb16cbedac671cbaf3c912b0f0cfcdb3,4,0,1,1,4,2
atom,a082be3c8c1f88c45cbded55f96680e6aca5f806,28,30,2,2,58,4
atom,b19db0f0c0a7a6f5ea108ca2891a011e11cd66e8,101,0,4,0,101,4
babel,5ff7e59a0a3497d76e39aeedfef14cfdb05072f9,0,56,0,1,56,1
babel,66ea5342de56e012128739121c1f66bab21c4013,37,0,1,0,37,1
babel,999baf2888a9cedbc641c058049bb9c197961beb,2,31,2,2,33,4
babel,aa9b3ec2a8803e0779d1196666348e72b615d60e,50,44,1,1,94,2
babel,b670ee18df657946037e94896c0de7ad5618bf15,31,0,1,1,31,2
babel,c5bbf91892db71f02ef6cbf8b7ad262930dc0005,23,31,2,2,54,4
babel,c907f8703a918c1ba8b18ab7dd274dd44c6a743e,61,4,1,1,65,2
backbone,0cdc525961d3fa98e810ffae6bcc8e3838e36d93,19,0,1,1,19,2
backbone,10230e4d76e21f08a1dee1fe5d28994e2cf5f11d,0,2,1,1,2,2
backbone,1a06f9a21584673b468d410f53b599e1f53435ae,22,8,1,1,30,2
backbone,21fa0aa6a276fcced53fba384d926c13aa00d6a9,2,0,1,1,2,2
backbone,2eabf0450c44dc822ac37e53a1cd1ce7474f5b53,1,0,1,1,1,2
backbone,42d3588b73fc2158537f0e8006601a12c447ff7a,43,47,2,2,90,4
backbone,44629daacc1ee556bdf62deb92701f714f321126,20,0,1,1,20,2
backbone,49804535dc4bfd3bcc0c29a676080059e73059b8,2,2,1,1,4,2
backbone,4da25a48a6544f9781862a7b1096300ae0b334c7,4,0,2,2,4,4
backbone,5573ef72caba989a44ed4094f584b6878fa65e03,81,2,3,1,83,4
backbone,82c288c91e9c3781e3afeedf1aa30626e6f9a788,47,0,1,1,47,2
backbone,8711f3c781657ec6f640678452f3c5ed49bea70b,8,1,1,1,9,2
backbone,8ffdd09b52394786da0ee0a2a20ac54667c90597,1,0,1,1,1,2
backbone,a5d01f91fe7d3f438fba7fe1334732f8bea88526,61,61,2,2,122,4
backbone,f79e0bcf5327238f5baabf606260ee610c61f02a,18,0,1,1,18,2
backbone,fd78dbf14eeacd69836ed4f681192ab91ee2a361,0,1,1,1,1,2
cli,006914514b3625165d8e1857965dcbf3b8031e3f,120,47,2,1,167,3
cli,0d8eb9f4e1efcb393ee040106b81c4de9a754cf9,19,0,1,1,19,2
cli,0f87f5ed28960d962f34977953561d22983da4f9,0,4,1,1,4,2
cli,13d0cb4adfd59876b8a3d6792bce6e40cda82fa7,52,0,1,0,52,1
cli,172f9aca67a66ee303c17f90a994cd52fc66552a,37,4,3,1,41,4
cli,1c992a9ab092bb8f5baec51f4e861b2ec3ed6c14,5,0,1,1,5,2
cli,209ec2a76564b2a65f6bd701fa62624c20caafe9,63,35,1,1,98,2
cli,25db0b7de165b2f3e9d1c08036416410b5dbfb14,8,0,2,2,8,4
cli,2893c1aaeb9e43cf1d712b243efac53ea910fda8,43,35,2,2,78,4
cli,28a9a443033cccc2966bd43f74dd81f2b096db41,25,19,1,1,44,2
cli,2f593ae85f79ba5825d5b9e0444ef218fdcf0f09,56,3,2,1,59,3
cli,391b8a3239710efaa9089dab8d5e2b2f25e19b6b,18,0,2,2,18,4
cli,3a5fe65cc9da4bee020686b7ca86745805e74f86,2,52,1,2,54,3
cli,3e03524f8a109e6ad07c9fa04a41c7b3202b168f,46,0,1,0,46,1
cli,3f009fbf2c42f68c5127efecc6e22db105a74fe0,15,26,1,1,41,2
cli,43635cf9d24e155dfca0c89b3da0414de7844798,45,25,1,1,70,2
cli,43b3e28a4e133e6a27d3ec37e4a7ba8dd5ba98a0,0,31,1,2,31,3
cli,454c7dd60c78371bf606f11a17ed0299025bc37c,61,2,2,1,63,3
cli,52f0171ccce78eddee9d8c3d3c926309427df252,16,2,2,2,18,4
cli,54afc83b94732247562209211b206f145958c36d,8,0,1,1,8,2
cli,54de9a81f6e40fc8b6c2f642cea80c6a729d19a3,4,0,1,1,4,2
cli,5f1c33b4eec44f8ff174581e7261f8512f46f8a1,9,9,1,1,18,2
cli,644a18000e288a788d595d1d575b598c30459fa9,107,45,2,1,152,3
cli,6c64cdad888fcfe6e86503f682cf582dcce6b1c9,7,0,1,1,7,2
cli,707aa348be1b9649ceb7381efd4e9998292ba4c1,22,22,1,1,44,2
cli,70f64d2ee8a5192147992ba4f31fccf5c49d249d,29,7,2,2,36,4
cli,7230e131511fc6e995c96160e6c3cf5fca76aa59,2,0,1,1,2,2
cli,7380425d810fb8bfc69405a9cbbdec19978a7bee,20,0,1,1,20,2
cli,77c65f209af7372a4d425dda1533f008d687a35d,17,23,1,2,40,3
cli,7eecbd631b80fc080b31dbd7603c65fb9e2c1917,79,37,2,1,116,3
cli,80a96e2d0341e41097b4f21dac7ece6f2abd6d4f,14,0,2,2,14,4
cli,84602e98b4417f1a60d4bb933dea213f5a9505e5,7,0,1,1,7,2
cli,895ffe4f3eecd674796395f91c30eda88aca6b36,33,48,2,2,81,4
cli,931c5a13b37e41493c3643f1184cd6691ac8bc47,91,40,1,1,131,2
cli,96cec36f828b55caf1784f331fd6656f71f5b681,56,45,2,1,101,3
cli,a27a3f46888ed271c51a2e5a0db84ce1a526b025,11,11,1,1,22,2
cli,a2e04bd921feab8f9e40a27e180ca9308eb709d7,70,54,3,1,124,4
cli,a3be61d966496ff56ae1b8b0a613cf629082143f,1,0,1,1,1,2
cli,a8fb5479ba9571afc2959461438c80d4722db6c8,20,0,1,0,20,1
cli,ac6f2025bda0388b62856402a07c31956ef849f8,39,55,1,1,94,2
cli,afe21787e9fe870986a658510889f8ba866139fc,67,0,1,0,67,1
cli,b1ba186e67e54aea1b037cc44be9560f5155a240,22,0,2,2,22,4
cli,ca155830738c139ca7b607f765f64ff0ee0dadda,0,49,0,1,49,1
cli,d5391158d8e113d46f114df584a9395f37ba8295,3,0,1,1,3,2
cli,d9f75bca70020a2755a44c633b6bb9ca6d0f00bc,93,59,3,1,152,4
cli,da7bbb25fe347cb81395c6e1dc6b1f5b42f0a90f,30,24,1,1,54,2
cli,e5fafaf2ea30437445387cce929939ee3091f176,0,18,2,2,18,4
cli,e86037de1fe2f5e34765719d4d9ac1afb921343b,16,16,1,1,32,2
cli,e8823b3b66c2c369add808fd388410881993529a,48,0,2,1,48,3
cli,ed4bdeede8156cad97e3b6f1226587cc482cd7cc,13,13,1,1,26,2
cli,f461ecd215111ec4bfc608d327ddb80439390907,83,0,3,0,83,3
cli,f86570da1f223ac714509f2610ee9f185f1e19ef,0,1,1,1,1,2
impress.js,b86214c6e9dde44c7eaa1375b8e2a34a16cbb743,4,0,2,2,4,4
jquery,02ffee4610a24481aab1cac7676da2a207e3684b,4,3,1,1,7,2
jquery,098a2bb4d0eec2d590c222bb04bcdda7e1dcd169,6,0,2,2,6,4
jquery,0f6c7830ce5bdd31588dccdc40b6254fb4a9100f,0,3,1,1,3,2
jquery,1088d06e5485451549990e6143001488f1580d83,18,0,1,1,18,2
jquery,169b4185bcd34803b4459cb564c04e72bd4ddf1e,0,2,1,1,2,2
jquery,18e563abe53d7a7fb4169c869f01812c119ae191,9,0,1,1,9,2
jquery,1b566d37a2879af12364a03c633c235a76f49925,104,83,2,2,187,4
jquery,234a2d828021b6eb36d83d83cc30c5a09045e781,0,3,1,1,3,2
jquery,23eeaf38546d7d2757c02ca1c4b4a27aaa453133,6,0,1,1,6,2
jquery,26034c4a2985c18c6c702f1c609001f859e33654,2,0,1,1,2,2
jquery,2d4c0d5f375bcf59a5a0cd19c4562bd57f03fb1d,10,0,1,1,10,2
jquery,2ea7876c2510a7d4a609561648c34edea0aeb8d5,32,55,2,2,87,4
jquery,2f2602ed15b4bac1274d210348d63931a6fdf39e,3,0,1,1,3,2
jquery,3589a53de98c63a528855755492875318ed0136c,2,0,1,1,2,2
jquery,375499c1f3890b9f14c36fd50c80516ff5c7596e,1,0,1,1,1,2
jquery,38d74fe9122a0474221388084368ebbdd8c6f938,116,56,1,1,172,2
jquery,3d822afbe8929b04d4ca17c6abb7afb7eeccbceb,0,1,1,1,1,2
jquery,4c850c2ecdf475ca465cd173f3ff7bea67d77c29,117,43,1,1,160,2
jquery,6a25c20f5cdf2eba12d204517598a9e1386ab3a6,14,0,2,2,14,4
jquery,6c38ebbd47c6b0fa654733819bd5ae36c1ac6c48,36,14,1,1,50,2
jquery,6f064fc9c527a46b4de16f0af310b98d1a87b0f4,80,52,2,2,132,4
jquery,756183f6073a1e9fe6fae538d6f60899df47e2a1,5,0,1,1,5,2
jquery,7778c7722239bf5b286e4d8f2740af9abe800c09,0,6,1,1,6,2
jquery,7b9d8258909a626f3f380c763ed81150570bbad5,73,66,1,1,139,2
jquery,7eb6a25d5e223053a1ebc824c78bf854a755ccd0,3,32,1,2,35,3
jquery,80a26a326696599dad5b0bf88f8fa8e242e711e5,30,12,2,2,42,4
jquery,82e217c70cc158086b6b2df7637fda78d0ca81bd,2,8,1,1,10,2
jquery,90ba57ce6d84653b4533569d88d4af6b9a50426b,1,0,1,1,1,2
jquery,91410044426439983f409d198b8f9af2c5151d95,28,0,2,2,28,4
jquery,97a6bdbaba302015e84c54a5024dd7faadf35581,7,7,1,1,14,2
jquery,9ec09c3b4aa5182c2a8b8f51afb861b685a4003c,46,27,1,1,73,2
jquery,a3e97062d42ad6ee1c5feff9382a854768703d54,1,0,1,1,1,2
jquery,a960b2d3b50bd4077b646d020ef0ec3cd7328b88,2,0,1,1,2,2
jquery,aaaa9eb2f390d6153592c0eb2fa31db00ff2b6c0,30,39,1,1,69,2
jquery,ab454d9526445fa025b9c897ec2b21aa89babc8d,5,5,1,1,10,2
jquery,abbd2f4c3c93d9550cea81ccd6d6187c115eeb56,1,0,1,1,1,2
jquery,b98898d95be5cb7bb8b9fdb0d8a2595fc8d9cdf9,13,0,1,1,13,2
jquery,b9f2131a9da53fff60549e87428a0efe43f9e80a,35,22,1,1,57,2
jquery,c136717119ec986be67848ec45b56e23d77d51fd,5,0,1,1,5,2
jquery,c5264ce196c2f6d60b9d662a160f8e146c9aa23c,4,0,1,1,4,2
jquery,d1146aa7bfda81f5737fa1304af894cd9c578858,21,21,1,1,42,2
jquery,d7d0b52bda74486f2351baa9d03ca4534de0d733,85,51,2,1,136,3
jquery,d933e9c26d9c883af6de6a48c456294748582d3c,2,0,2,2,2,4
jquery,dc8ba6af921f4c9650fb1e4cfc698b2a276fa53d,0,1,1,1,1,2
jquery,ddb3004a476d6eec3d449bc39d93fb5b5f98f01b,14,0,1,1,14,2
jquery,e6f8951983b8ce1af8986651fd412f9e569504c6,4,0,1,1,4,2
jquery,e7af6a296b75b8583175726039f2946de27549fc,15,0,2,2,15,4
jquery,eb1f881d737eb64c81dbd143bc678e202c60d9f9,93,0,2,0,93,2
jquery,fe7e2fee1673d76130b40488c61982b081aff29f,1,0,1,1,1,2
mongoose,08c9e19410a40357c4d6fc796907fd3b2d6bf70a,42,0,2,2,42,4
mongoose,1d87636331e734f28a80d270455d216f7898d75c,15,26,1,1,41,2
mongoose,38ab00c8929cd619a719e5ed6205a118e5cc276f,0,16,1,1,16,2
mongoose,443abed371aa3618e720c4d76c222cc1a07849b8,10,15,2,2,25,4
mongoose,4cdaf757ba426d5a6165fc5e6bb6fb8ea27e2440,12,14,1,1,26,2
mongoose,4eec31fcdc02d32a6964bdf7decd1a7ab86323b4,3,0,1,1,3,2
mongoose,5715c280bfa2931cd6a52be90182ff130b71bcc3,1,0,1,1,1,2
mongoose,6303d55ec97673b43802de65aa53e06e8f300d5b,0,1,1,1,1,2
mongoose,6c541916cadc640945808712a93cabe1543c4c57,68,28,2,2,96,4
mongoose,8cffe83e3e8fb5438928b94f0c1f64d014a5b24f,17,0,1,1,17,2
mongoose,9339480c03bca11e8ab435b7d86938a7278f5f44,16,22,1,1,38,2
mongoose,94ecfb3bbccf4fad1b677afc978b9229d4d15639,49,26,1,1,75,2
mongoose,b6eef9fa20d6e7b2c729233fb05f435cd97c7f16,11,0,1,1,11,2
mongoose,fd94eab1c2bb3a1f9bb68f9c0ecf02fb4a5e1945,9,0,1,1,9,2
pdf.js,010d38a8c0f6fad7f0b5e6955e5371a8121be87c,17,5,1,1,22,2
pdf.js,04e467793b79f8403d499748dc33f1f9f58ee09f,18,0,1,1,18,2
pdf.js,1296da313cb3d942e1613472f94cbc242c954977,0,2,1,1,2,2
pdf.js,2283f0bac1adccf5fccd2a62659e6d968303481f,20,0,1,1,20,2
pdf.js,248e211a20b018f74676d751e0177f0ea9f96b9c,38,17,1,1,55,2
pdf.js,3ac9bd063d7b169834ba3edf2723992cfa557d2e,218,0,4,0,218,4
pdf.js,4ec132a2ba0d6a10fa9560abbe23da50e9f5e49b,37,0,1,1,37,2
pdf.js,4f5e15695a00bd3bddc67e0ce925fca325fb9033,17,0,1,1,17,2
pdf.js,53cfe2792b1047019cdf4618d26daa44c2b9526e,4,0,2,2,4,4
pdf.js,548b4ca20876d206c29eb614ff9d53e899d42be7,26,21,2,1,47,3
pdf.js,5fdc908f020c63e129a9a66b76a7a31c69f8321d,4,0,2,2,4,4
pdf.js,6ab7584ba46283f1542567c7424c95ddbe5bdfe9,22,19,1,1,41,2
pdf.js,7937165537335ba3ad42803112cb2a3972a9004d,58,40,1,1,98,2
pdf.js,8aca4c992b3e341b8ccf83f04447ac4396edb306,81,0,4,0,81,4
pdf.js,96ba6afd476cfc4fa4431dc0c5f8b3c26e3ba035,10,8,2,2,18,4
pdf.js,a05115d2ec27866ccf16cc4c550f225f054037fd,84,38,3,1,122,4
pdf.js,d4a3858ed5c5f4a31a7089a33c00116eecd5b8bd,1,0,1,1,1,2
pdf.js,eb7f369c546c1f80d31b8e771ce72143030a8de2,14,0,2,2,14,4
pdf.js,f4db38aadfd3a4f13cb72736de28acfaa15d648b,39,4,2,1,43,3
pdf.js,ffc27bca1ef0b71c260da0db82fd3e48962119dc,22,0,1,1,22,2
react,2add1ed1b913b235f7c491d15c30ab49460bc7ec,0,2,1,1,2,2
react,3d06fb742d337284efe83d353364282f880355bf,9,0,1,1,9,2
react,5550ed4a8f33ff562e807175b8f35a1f9e037670,50,8,2,1,58,3
react,7c0f5c3237ddf0f3cbc12382bbe59b177075659a,7,0,1,1,7,2
react,7ccfb0733716be809e189b53682289d6cfb34a20,38,21,1,1,59,2
react,90c41a2e56badab3e456be869095c24520096342,109,32,3,1,141,4
react-boilerplate,0bb546360a6d03c62acd5df251821f6638cd7342,15,17,1,1,32,2
react-boilerplate,3284f76de3ad692c638e06cad646d6d5acd09385,54,81,1,3,135,4
react-boilerplate,9c1a58845f049edfda66c40e266be03c4ac9ba49,0,22,2,2,22,4
react-boilerplate,b313a5f8a434464162d3e6acc6884bd1ca550fc8,66,118,2,2,184,4
react-boilerplate,b908e8601793cbe1552d7fce5aaed05dd402deaf,34,2,2,1,36,3
react-boilerplate,d907b4452940d4617c96380c6717e217f070f0f2,4,0,1,1,4,2
react-boilerplate,efde6f853bee5d7fb0be06274ee796542be09df2,2,0,1,1,2,2
react-boilerplate,fd58cd23c9186bd49d7e8f3aac7536f1f52a9e19,11,0,1,1,11,2
socket.io,1b01e16a6cf0b1e7e8976d12a0e22f788e1cf1ee,0,10,2,2,10,4
socket.io,1e68a83bd30b2a85091974627ca3f4038df2a5ce,7,0,2,2,7,4
socket.io,3684d590f51fae6dd9bb4501f7ea75afe20ffcda,40,4,2,1,44,3
socket.io,4f0fce34f5868867b4e627f1fa5333ceb8e96259,12,0,1,1,12,2
socket.io,67495ad8a9697d49f9d183dc91989e168f9eea25,28,0,2,2,28,4
socket.io,a0056904c1094008fda69ba99d395c7842f227dc,0,54,1,2,54,3
socket.io,a23d26a617681e771f82aefd47e026a85ba1e0df,16,4,2,2,20,4
video.js,02da69741acf5ffda6262e9e1a12abf1020fd878,4,0,1,1,4,2
video.js,228484befc5aefe06da6a5afcf4f29450b9ce415,23,23,1,1,46,2
video.js,4f18a6bd970dd36b1c5d0c513ac64222167c4ff7,10,16,2,2,26,4
video.js,5748c360af2bde49b18514e7b3936a64831d85fa,91,47,1,1,138,2
video.js,749ef548edc97da5fdb0bdf96f1f26aedd73433c,0,1,1,1,1,2
video.js,768e40b1694bf989273c2202e64ab61e2542b853,6,0,2,2,6,4
video.js,855adf35a1757fece522ee64ce2709e16a481e5d,58,2,2,2,60,4
video.js,98fe49feace96958b63b875988250862a4655461,12,12,1,1,24,2
video.js,a25c4c98f3a4faea4c7db32d75f9d0907e4b8196,37,30,1,1,67,2
video.js,c647b436aad4f57890b658762ea9edc401789d19,12,12,2,2,24,4
video.js,e0794cf4b41252330fb9fb06714690f8c8bccce4,19,0,1,1,19,2
video.js,f0f7c8917b150aa9f50c927e15b06f0139b6860b,81,0,4,0,81,4
video.js,fdd4d25bad6a1b4e114089585ebc4c8c58c45930,60,0,2,1,60,3